Fednum,EDA - Fundraising Report,EDA - Financial Report,EDA - Daily Notification,EDA - Dashboard
10001,https://docs.google.com/spreadsheets/d/1PMVZtBtGCDsE48Ox4izTsDxncw63edSXIBnnKTIbzn8,https://drive.google.com/drive/u/0/folders/15piWx0HUSoIJQ24I2cpEcKQJzTSzTnFD,https://docs.google.com/spreadsheets/d/1Mbz29Ub7X39Oe3dzd0JcSJ58Cw7yKToi8lJxAusdyNQ,https://docs.google.com/spreadsheets/d/1qDwDudcOY6OE2EvznaigBckKyjMCSPwxvrAYysxZqrI
10002,https://docs.google.com/spreadsheets/d/1OwxFtHoYiLrEE29F97VXRbcSMhru1Y9qsDlC_gQTW0o,https://drive.google.com/drive/u/0/folders/1b_68E88JLSPrxVNSIEMqoOTvPDeJT-Au,https://docs.google.com/spreadsheets/d/1YmKl_fk_OscIEoqI4uhHBLupCM35YvHE_v5Xp6iN1HA,https://docs.google.com/spreadsheets/d/1k4LSlxpTaf9OkteoeEN53Y37RHzegz6YsgOXEVjKk2Y
10003,https://docs.google.com/spreadsheets/d/13n10ZPKFKos535CfNgVvcwRKykxD6OhFeFXglFzr1U4,https://drive.google.com/drive/u/0/folders/1LZg8K9JRmLlqLAX-fvUo-plD8DmZ2FCG,https://docs.google.com/spreadsheets/d/12rhlekdtpME_INkNsKMG7lhJbBdo_GRpzLYr5FEFlt0,https://docs.google.com/spreadsheets/d/1wX45kAlzlL3CyuztQ4YdfKAwlh8FNqiRscFor--ESIs
10004,https://docs.google.com/spreadsheets/d/1d0lhV1pIHs7EOfVnjFBNmMDALZhbutmE3aT7UDgU2XI,https://drive.google.com/drive/u/0/folders/12Iy9qa2X9FJFccCAemOu64vnHEqhDqqg,https://docs.google.com/spreadsheets/d/1qDR-_tvsk-XMIKfiB2UCCvNeBQJWWBitbMU3SbowICg,https://docs.google.com/spreadsheets/d/1TwLV3prxJTftzhI4ZR3RrCPmraHd4dzA4bZNnfckWbg
10005,https://docs.google.com/spreadsheets/d/1a6jTohVD9JNyWM3l0mjv44F-Iu2WIyX8OOHPV5q0A7I,https://drive.google.com/drive/u/0/folders/1HXcmwqtyeYt74TdssbMRig0DLWcy6-vq,https://docs.google.com/spreadsheets/d/1r1F3bKdmNjTbOQ7rl_1iKVrCOw4ek6CtKdE7nB5ILaY,https://docs.google.com/spreadsheets/d/1IfIqug7G9zqgV9zeuehaxMf9ygwOwkRpDuVIi_9D0ts
10006,https://docs.google.com/spreadsheets/d/13F39i-lVRa2py1XO0LeOSmbqLebPpAtbxHp6N1LT0dw,https://drive.google.com/drive/u/0/folders/1ZgydxKc9o8j3aTp_wfswrHjVrQEwzIqB,https://docs.google.com/spreadsheets/d/1r4inrYFqrM-FaGHeSkrbFvxD-GuufLwT8newcEOv108,https://docs.google.com/spreadsheets/d/1TQR_mnUdzG54x4D6eoAxfrnDg-m1QuFnf1muHd1m_fc
10007,docs.google.com/spreadsheets/d/1y1C54s9HOkirFN72Y6NowasIhM5e0PgU0qzB9fm4AN0,https://drive.google.com/drive/u/0/folders/1eJrRTaZjuG03vQ1RQlgeKEFGHahtBxeQ,https://docs.google.com/spreadsheets/d/1CYiTNRYBydwOQ5LR4ocrr7IHrlGI3hgQ5kJAHWTzRx0,https://docs.google.com/spreadsheets/d/1vu4viCVKDCkKBT22x4c6FyWHFd33xehBPweFak_cmJI
11001,docs.google.com/spreadsheets/d/1bq-4OZwv4zGTM8MnKG0nmE1Ev3HScfy5Al9xILYVILY,https://drive.google.com/drive/u/0/folders/1SYIyHYM1GeFzaAjdA-EmW2uwOhx1qhYQ,https://docs.google.com/spreadsheets/d/19MypeKjm9_2hLBG2S5-b6Xdbx0oK8MW9kaMsKr3Jcy4,https://docs.google.com/spreadsheets/d/1to3Lqo3hluqirjPO9rIumjE6e0xh1q11zvdXt3bwieE
11002,docs.google.com/spreadsheets/d/1Rk3SNiTtsXpA9dZa3CeFZ6owDPlfn6LQpQ6ajt6n5H8,https://drive.google.com/drive/u/0/folders/1BSAOK-65CdG-s61XYeo75meOtv3Xi39l,https://docs.google.com/spreadsheets/d/1HUoRB2DHh1ImA0L7yLSnas9AAgf7Ob6f8NaVpWqeErA,https://docs.google.com/spreadsheets/d/1ZAGCv34Imor5hVnT-UvfYDvPbPviSRYHlCKigSeWkEs
11003,docs.google.com/spreadsheets/d/1G_DgnQDWt1NfMSQY3fi05NUxri89J9T9W23ZzLev8MI,https://drive.google.com/drive/u/0/folders/1iDQFnHNbTkJOZPd7-vH5m6qKgzmf8bj9,https://docs.google.com/spreadsheets/d/1Sx8DK7wtqyYsfgeqxL5RVT1qRdiaMi18CPl8qUbNG4M,https://docs.google.com/spreadsheets/d/1HJPxVdXvOZL3ur5vL9VAeuo9dXYd8P--nKX_ljnhIO0
